delivery_status,total_orders,avg_review_score,low_score_pct,avg_delay_days,avg_delivery_days
Giao trễ,7147,2.46,57.0,10.0,31.9
Đúng hạn / Sớm,88685,4.29,9.2,-13.0,10.5
