shipping_type,total_orders,avg_delivery_days,avg_delay_days,late_delivery_pct,avg_freight_cost,avg_review_score,low_rating_pct
Cùng bang (Intrastate),34706,7.5,-9.7,5.4,15.45,4.26,10.4
Khác bang (Interstate),61772,14.7,-12.1,8.8,26.29,4.1,14.0
